Company Name,Homepage URL,LinkedIn URL,Enrichment,Industry,EstimatedEmployees,AnnualRevenue,Summary,Rationale,Decision Maker,Event Name,Industry Fit,Size Fit,Revenue Fit,Overall Fit
Canon USA,https://canonusa.com/,https://www.linkedin.com/company/canonusa,"```json
{
  ""Industry"": ""Computers and Electronics Manufacturing"",
  ""EstimatedEmployees"": ""5,001-10,000"",
  ""AnnualRevenue"": ""Estimated in billions (as a leading provider in digital imaging solutions)"",
  ""Summary"": ""Canon USA is a leading provider of consumer, business-to-business, and industrial digital imaging solutions, committed to contributing to the prosperity of humanity and environmental protection."",
  ""Rationale"": ""Canon USA is involved in digital imaging solutions, which likely includes printing and signage. Their commitment to innovative technology and environmental initiatives suggests they could benefit from durable film products like DuPont™ Tedlar® for high-quality, sustainable signage solutions.""
}
```",Computers and Electronics Manufacturing,"5,001-10,000",Estimated in billions (as a leading provider in digital imaging solutions),"Canon USA is a leading provider of consumer, business-to-business, and industrial digital imaging solutions, committed to contributing to the prosperity of humanity and environmental protection.","Canon USA is involved in digital imaging solutions, which likely includes printing and signage. Their commitment to innovative technology and environmental initiatives suggests they could benefit from durable film products like DuPont™ Tedlar® for high-quality, sustainable signage solutions.",Valerie Belli,ISA Sign Expo 2025,Low Fit,Best Fit,Low Fit,Low Fit
3M Commercial Solutions,https://www.linkedin.com/posts/ross-bernstein-speaker_3m-3mer-keynotespeaker-activity-6807666837980098560-yRQv?trk=public_profile_like_view,,Agent stopped due to iteration limit or time limit.,,,,,,Clayton Ciomperlik,ISA Sign Expo 2025,Low Fit,Low Fit,Low Fit,Low Fit
Avery Dennison Graphics Solutions,https://gh.linkedin.com/company/avery-dennison-graphics-solutions,https://www.linkedin.com/company/avery-dennison-graphics-solutions,"```json
{
  ""Industry"": ""Advertising Services"",
  ""EstimatedEmployees"": ""35,000"",
  ""AnnualRevenue"": ""Not explicitly stated, but likely in the billions given the global presence and employee count."",
  ""Summary"": ""Avery Dennison Graphics Solutions is a global materials science and digital identification solutions company, providing a wide range of branding and information solutions. They specialize in digital imaging media, screen and cut materials, custom color matching, and technical service."",
  ""Rationale"": ""Avery Dennison Graphics Solutions is a leader in the graphics industry, offering products like digital imaging media and screen materials, which are directly relevant to signage and durable film products. Their focus on sustainability and innovative materials makes them a strong candidate for partnerships involving durable film products like DuPont™ Tedlar®.""
}
```",Advertising Services,"35,000","Not explicitly stated, but likely in the billions given the global presence and employee count.","Avery Dennison Graphics Solutions is a global materials science and digital identification solutions company, providing a wide range of branding and information solutions. They specialize in digital imaging media, screen and cut materials, custom color matching, and technical service.","Avery Dennison Graphics Solutions is a leader in the graphics industry, offering products like digital imaging media and screen materials, which are directly relevant to signage and durable film products. Their focus on sustainability and innovative materials makes them a strong candidate for partnerships involving durable film products like DuPont™ Tedlar®.",Alan Tsuma,ISA Sign Expo 2025,Low Fit,Best Fit,Best Fit,Best Fit
Cimpress plc,https://www.linkedin.com/company/cimpress,https://in.linkedin.com/company/cimpress-india,"```json
{
  ""Industry"": ""Technology, Information and Internet"",
  ""EstimatedEmployees"": ""10,001+"",
  ""AnnualRevenue"": ""$1 billion+"",
  ""Summary"": ""Cimpress plc is a public company that invests in and builds customer-focused, entrepreneurial, mass-customization businesses. It operates a group of more than a dozen businesses, including Vista, National Pen, and Pixartprinting, specializing in mass customization, manufacturing, and technology."",
  ""Rationale"": ""Cimpress specializes in mass customization and manufacturing, with a focus on personalized physical products. This makes them a good fit for signage or durable film products, as they have the capability to produce customized and durable materials efficiently.""
}
```","Technology, Information and Internet","10,001+",$1 billion+,"Cimpress plc is a public company that invests in and builds customer-focused, entrepreneurial, mass-customization businesses. It operates a group of more than a dozen businesses, including Vista, National Pen, and Pixartprinting, specializing in mass customization, manufacturing, and technology.","Cimpress specializes in mass customization and manufacturing, with a focus on personalized physical products. This makes them a good fit for signage or durable film products, as they have the capability to produce customized and durable materials efficiently.",Shawn Burdick,ISA Sign Expo 2025,Mid Fit,Best Fit,Low Fit,Low Fit
Muller Martini,https://mullermartini.com/en/homepage/,,"```json
{
  ""Industry"": ""Graphic Arts and Print Finishing Systems"",
  ""EstimatedEmployees"": ""1000-5000"",
  ""AnnualRevenue"": ""Estimated $500 million - $1 billion"",
  ""Summary"": ""Muller Martini is a global leader in the graphic arts industry, specializing in print finishing systems. They offer a range of products including saddle stitching, softcover production, hardcover production, and digital solutions."",
  ""Rationale"": ""Muller Martini's expertise in print finishing systems and their involvement in digital solutions suggest they have the capability to integrate signage and durable film products into their offerings. Their focus on innovation and digital transformation aligns with the needs of industries requiring durable and high-quality print solutions.""
}
```",Graphic Arts and Print Finishing Systems,1000-5000,Estimated $500 million - $1 billion,"Muller Martini is a global leader in the graphic arts industry, specializing in print finishing systems. They offer a range of products including saddle stitching, softcover production, hardcover production, and digital solutions.",Muller Martini's expertise in print finishing systems and their involvement in digital solutions suggest they have the capability to integrate signage and durable film products into their offerings. Their focus on innovation and digital transformation aligns with the needs of industries requiring durable and high-quality print solutions.,Dan Denue,PRINTING United Expo,Low Fit,Best Fit,Low Fit,Low Fit
Air and Water Systems,https://airandwatersystems.com/,,"```json
{
  ""Industry"": ""Industrial Humidification and Cooling"",
  ""EstimatedEmployees"": ""50-100"",
  ""AnnualRevenue"": ""$10-20 million"",
  ""Summary"": ""Air & Water Systems specializes in industrial humidification and evaporative cooling equipment, offering custom and innovative solutions for industrial plants worldwide."",
  ""Rationale"": ""The company's focus on industrial applications and custom solutions suggests potential use of durable films like DuPont™ Tedlar® for equipment protection and signage in industrial environments.""
}
```",Industrial Humidification and Cooling,50-100,$10-20 million,"Air & Water Systems specializes in industrial humidification and evaporative cooling equipment, offering custom and innovative solutions for industrial plants worldwide.",The company's focus on industrial applications and custom solutions suggests potential use of durable films like DuPont™ Tedlar® for equipment protection and signage in industrial environments.,,PRINTING United Expo,Low Fit,Mid Fit,Low Fit,Low Fit
SinaLite,https://sinalite.com/en_us,,"```json
{
  ""Industry"": ""Wholesale Printing"",
  ""EstimatedEmployees"": ""100-200"",
  ""AnnualRevenue"": ""$10M-$50M"",
  ""Summary"": ""SinaLite is a trade wholesale printing company that offers a wide range of printing services including business cards, postcards, and flyers. They focus on maximizing print profits for their clients and provide various specialty and durable printing options."",
  ""Rationale"": ""SinaLite offers durable printing options such as Spot UV and gloss lamination, which are relevant for signage and durable film products. Their focus on wholesale printing and a variety of specialty finishes makes them a potential fit for products like DuPont™ Tedlar®.""
}
```",Wholesale Printing,100-200,$10M-$50M,"SinaLite is a trade wholesale printing company that offers a wide range of printing services including business cards, postcards, and flyers. They focus on maximizing print profits for their clients and provide various specialty and durable printing options.","SinaLite offers durable printing options such as Spot UV and gloss lamination, which are relevant for signage and durable film products. Their focus on wholesale printing and a variety of specialty finishes makes them a potential fit for products like DuPont™ Tedlar®.",Valerie Rother,PRINTING United Expo,Mid Fit,Mid Fit,Low Fit,Mid Fit
Scodix,https://scodix.com/,,"```json
{
  ""Industry"": ""Digital Printing and Embellishment"",
  ""EstimatedEmployees"": ""200-500"",
  ""AnnualRevenue"": ""$50M-$100M"",
  ""Summary"": ""Scodix offers advanced digital embellishment solutions for the printing industry, focusing on packaging, commercial print, publishing, and web-to-print markets. Their technology includes a range of presses and applications that provide high-quality, sustainable print embellishments."",
  ""Rationale"": ""Scodix's focus on digital embellishment and printing solutions, particularly in packaging and commercial print, aligns well with the needs of signage and durable film products. Their emphasis on sustainability and high-quality embellishments makes them a suitable partner for products like DuPont™ Tedlar®.""
}
```",Digital Printing and Embellishment,200-500,$50M-$100M,"Scodix offers advanced digital embellishment solutions for the printing industry, focusing on packaging, commercial print, publishing, and web-to-print markets. Their technology includes a range of presses and applications that provide high-quality, sustainable print embellishments.","Scodix's focus on digital embellishment and printing solutions, particularly in packaging and commercial print, aligns well with the needs of signage and durable film products. Their emphasis on sustainability and high-quality embellishments makes them a suitable partner for products like DuPont™ Tedlar®.",Ifat Muki,PRINTING United Expo,Mid Fit,Mid Fit,Low Fit,Mid Fit
Soyang Europe,https://uk.linkedin.com/company/soyang-europe,https://www.linkedin.com/company/soyang-europe/,"```json
{
  ""Industry"": ""Printing Services"",
  ""EstimatedEmployees"": ""11-50"",
  ""AnnualRevenue"": ""Not explicitly stated, but likely in the range of a small to medium enterprise given the employee size and industry."",
  ""Summary"": ""Soyang Europe is a leading supplier of digitally printable media for a broad range of industries including wide format and super wide outdoor, retail POS, flag and signage sectors. They offer a variety of innovative substrates and materials, including textiles, PVC, non-PVC, wall and floor coverings."",
  ""Rationale"": ""Soyang Europe specializes in digitally printable media and substrates, which are essential for signage and durable film products. Their focus on innovative and high-quality materials, such as textiles and vinyl, aligns well with the needs of companies looking for durable and versatile signage solutions. Additionally, their capability to deliver products on a next-day service basis makes them a reliable partner for businesses requiring quick turnaround times.""
}
```",Printing Services,11-50,"Not explicitly stated, but likely in the range of a small to medium enterprise given the employee size and industry.","Soyang Europe is a leading supplier of digitally printable media for a broad range of industries including wide format and super wide outdoor, retail POS, flag and signage sectors. They offer a variety of innovative substrates and materials, including textiles, PVC, non-PVC, wall and floor coverings.","Soyang Europe specializes in digitally printable media and substrates, which are essential for signage and durable film products. Their focus on innovative and high-quality materials, such as textiles and vinyl, aligns well with the needs of companies looking for durable and versatile signage solutions. Additionally, their capability to deliver products on a next-day service basis makes them a reliable partner for businesses requiring quick turnaround times.",Daniel Dimambro,Sign & Digital UK 2025,Mid Fit,Low Fit,Best Fit,Low Fit
Vivid Laminating Technologies,https://uk.linkedin.com/in/amelia-hodgson-0604061b6,https://uk.linkedin.com/company/vivid-laminating-technologies-limited,"```json
{
  ""Industry"": ""Printing Services"",
  ""EstimatedEmployees"": ""30"",
  ""AnnualRevenue"": ""Not explicitly stated, but likely in the range of a small to medium enterprise given the employee size."",
  ""Summary"": ""Vivid Laminating Technologies Ltd is a leading European designer and manufacturer of laminating machines, specializing in innovative lamination, foil, and print finishing technologies. They offer a range of laminating solutions for various markets, including graphics and signage."",
  ""Rationale"": ""Vivid Laminating Technologies is a good fit for signage or durable film products because they specialize in wide format laminators that are perfect for the graphics and signage industry. Their products are suitable for laminating signs, roll-up & pop-up displays, floor graphics, vehicle wraps, POS displays, posters, and exhibition graphics, which aligns well with the needs for durable film products like DuPont™ Tedlar®.""
}
```",Printing Services,30,"Not explicitly stated, but likely in the range of a small to medium enterprise given the employee size.","Vivid Laminating Technologies Ltd is a leading European designer and manufacturer of laminating machines, specializing in innovative lamination, foil, and print finishing technologies. They offer a range of laminating solutions for various markets, including graphics and signage.","Vivid Laminating Technologies is a good fit for signage or durable film products because they specialize in wide format laminators that are perfect for the graphics and signage industry. Their products are suitable for laminating signs, roll-up & pop-up displays, floor graphics, vehicle wraps, POS displays, posters, and exhibition graphics, which aligns well with the needs for durable film products like DuPont™ Tedlar®.",Lewis Evans,Sign & Digital UK 2025,Mid Fit,Low Fit,Best Fit,Low Fit
SwissQprint,https://www.swissqprint.com/,,"```json
{
  ""Industry"": ""Printing Technology"",
  ""EstimatedEmployees"": ""201-500"",
  ""AnnualRevenue"": ""$50M-$100M"",
  ""Summary"": ""SwissQprint is a leading manufacturer of high-quality flatbed and roll-to-roll printers, known for their scalability, modularity, and sustainable production practices."",
  ""Rationale"": ""SwissQprint specializes in flatbed and roll-to-roll printers, which are ideal for producing signage and durable film products. Their focus on sustainability and high-performance printing solutions makes them a suitable partner for companies like DuPont™ Tedlar® that require durable and environmentally-friendly printing solutions.""
}
```",Printing Technology,201-500,$50M-$100M,"SwissQprint is a leading manufacturer of high-quality flatbed and roll-to-roll printers, known for their scalability, modularity, and sustainable production practices.","SwissQprint specializes in flatbed and roll-to-roll printers, which are ideal for producing signage and durable film products. Their focus on sustainability and high-performance printing solutions makes them a suitable partner for companies like DuPont™ Tedlar® that require durable and environmentally-friendly printing solutions.",Guy Flüeli,Sign & Digital UK 2025,Mid Fit,Mid Fit,Low Fit,Mid Fit
Hybrid Services,https://www.linkedin.com/company/hybrid-software,https://www.linkedin.com/company/hybrid-it-services-inc,"```json
{
  ""Industry"": ""Software Development"",
  ""EstimatedEmployees"": ""51-200"",
  ""AnnualRevenue"": ""Not explicitly stated, but likely in the range of $10M-$50M based on company size and industry"",
  ""Summary"": ""Hybrid Software is an enterprise software development company focused on innovative productivity tools for the graphic arts industry, offering solutions like CLOUDFLOW workflow, PACKZ editor, and print quality solutions for prepress and print, including labels and packaging, folding cartons, corrugated, wide format, and digital printing."",
  ""Rationale"": ""Hybrid Software's focus on industrial printing and packaging, including wide format and digital printing, makes it a suitable fit for signage and durable film products. Their software solutions are used in prepress and print processes, which are essential for producing high-quality signage and durable films.""
}
```",Software Development,51-200,"Not explicitly stated, but likely in the range of $10M-$50M based on company size and industry","Hybrid Software is an enterprise software development company focused on innovative productivity tools for the graphic arts industry, offering solutions like CLOUDFLOW workflow, PACKZ editor, and print quality solutions for prepress and print, including labels and packaging, folding cartons, corrugated, wide format, and digital printing.","Hybrid Software's focus on industrial printing and packaging, including wide format and digital printing, makes it a suitable fit for signage and durable film products. Their software solutions are used in prepress and print processes, which are essential for producing high-quality signage and durable films.",Mujtaba Ali,Sign & Digital UK 2025,Low Fit,Mid Fit,Best Fit,Low Fit
